"Story","Title","Result","Date","Stability","Duration (s)"
"Tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2020-05-29T17:56:42.389+01:00[Europe/London]","0.0","0.24"
"Tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2020-05-29T17:56:42.389+01:00[Europe/London]","0.0","0.24"
